"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size","Param: type"
"project.Benchmarking.multiply","avgt",1,3,"0,080312","0,006187","s/op",512,SIMPLE
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,003869",NaN,"#",512,SIMPLE
"project.Benchmarking.multiply:RAM","avgt",1,3,"32,000000",NaN,"#",512,SIMPLE
"project.Benchmarking.multiply","avgt",1,3,"0,015019","0,000066","s/op",512,THREAD
"project.Benchmarking.multiply:CPU","avgt",1,3,"28,291125",NaN,"#",512,THREAD
"project.Benchmarking.multiply:RAM","avgt",1,3,"57,000000",NaN,"#",512,THREAD
"project.Benchmarking.multiply","avgt",1,3,"0,929470","0,107635","s/op",1024,SIMPLE
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,001446",NaN,"#",1024,SIMPLE
"project.Benchmarking.multiply:RAM","avgt",1,3,"87,000000",NaN,"#",1024,SIMPLE
"project.Benchmarking.multiply","avgt",1,3,"0,184805","0,097302","s/op",1024,THREAD
"project.Benchmarking.multiply:CPU","avgt",1,3,"27,501728",NaN,"#",1024,THREAD
"project.Benchmarking.multiply:RAM","avgt",1,3,"92,000000",NaN,"#",1024,THREAD
